0_0hiyodori || Low G5
164Brian || Low G4
1Savv || Low-High G4
1saiahsW1fe || Low G3
3FX85HF9S || High G4
Afafafafaf5758 || Low G3
Altver25 || Low-High G5 [Potential High G5]
Anders8K || Low G3
Anos_Voldigoad777 || Low G5
ArchAngelHarmony || Low G5
Ayanokonas || High G3
BENZENEo6 || High G3
BotRoblox_Indonesia || Low G3
CaHYaYT || Low-High G3
Coleawesome3333 || Low-High G3
Cursedfire_Gaming || High G2
DandelionsFlying1 || High G3 - Low G4
DarthVaderApple || Low G3
DeathRowFurry || Low G5
DylanDaily444 || Low G3
Exist_Solos || High G3
F4VX3S || High G3
FHDxx7YT || Low G5
Funexplorer1000 || Low G3
Gracee_Ashcroft || High G2
GrobloxGaming001 || Low G3
Gyuueg || Low G4
HRITA007 || Low G4
Idxrsl || Low G5
Ilovenova100 || Low G3
ImXifz || Low G3
Kerato || High G2
KineticFlow_19 || Low-High G4
Kzzrypt || High G3
LYNXMT || High G4
Lowklowktuffbufff2 || Low G3
MDVDORIAN || Low-High G3
Makloy27 || Low G5
Mikasa_170407 || Low G3
Multo546 || Low G4
NEnoughh || Low G3
NIRSEVIMAB || Low G5
Never_Underestlmate || Low G4
NiteNiteSZ || Low G4
OS_ADM1OFC || High G2
Prqtzelz || Low G3	
Rambaizo || Low-High G4
Reanoley || Low G3
Riruzuki || High G4
Rxxsbert || Low G5
Salvanastlov || Low-High G5
Sameowash0 || Low-High G4
SanzuSans || High G4
Sephtaoo || Low G3
Sonderingsoulz || High G3
SpiderYeet2 || Low G4
TNMJibs || High G4 [Fraud]
TeardropTPOT2023 || Low G3
TheElectronicDude || High G4
TheZebra96a || High G4
ToastieBP || Low G4
Toxic_Maiden || High G3
Ultimatecarfan2013 || Low G3
Voidfury01 || High G4
Ytzval01_Originals || Low G3
adwwodsso || Low G3
amysteriouslydude || High G2
arisecrossovernoob0 || Low G5
arvintropel2 || High G3
bloopydog12 || Low G2
cxatyourservice || Low G3
daniel_jacob4 || Low-High G3
dojmaster600 || Low-High G3
dollprosperity || Low-High G3
dr3am284 || Low G3
dryyHTZY || Low G5
elpepe84100 || Low-High G4
erarelkyaus12127 || High G3
etoil_941 || Low G3
femboy_toastyy || Low G4
finestyachiru || Low G4
finnishfrittata || Low G3
fr1tznthn_21 || High G2
hackerjg07 || Low G3
hhvhvhvhvhvhvhvhv || High G3
honeybeee91_1 || High G3 - Low G4
imtherealvinxx_6 || Low G3
itz_Greywolf77 || Low G4
j9vl || High G3
ja_mezzzzz || Low G3
jojochui0106 || High G3
judgier || High G4
kkeweii || Low G3
krothgoober99 || Low-High G2
l4gendd || Low G4
lRodri144 || Low G5
lilianbledblue || Low G5
lrrx || Low G4
lvvsoph || Low-High G3
mangoyakultt || High G2
mistydawna || Low G3
mmii665 || High G2
nique_tonz || High G3
opaidokimzinho || Low G4
ovoovvovovo || High G4
phoenixmanisontheway || Low-High G4
psychtrpccake || High G4
pukingminumumog || Low-High G3
punished || Low-High G3
quacepss || Low G4
rebirthed6coin || Low-High G4
revolsrawrats || High G3
robloxiatechnologia || High G2
se_d24 || Low G3
senju_hepa || Low-High G3
sickgirlrini || Low G3
somatic_f1 || Low-High G4
superhanw || Low G3
theonetobebeaten || Low-High G4
vtxill || Low G3
yogirl_brookeee || High G2
yusuisama || Low G4
zaz_boy1 || High G3
Vamhal || High G3
